,Company,Position,Connected On,Full Name,Latitude,Longitude
32,Natura,Pesquisador em Ciências do Bem-estar,05 Jan 2021,Justin Hughes,40.7232856,-73.9938049
33,Nouryon,Estagiário de Engenharia de Processos,05 Jan 2021,Joshua Johnson,29.5861478,-95.4314249
34,Construtora Cim,Information Technology Support Specialist,05 Jan 2021,Tracey Fields,-23.452654,-51.953464
35,Secretaria de Saúde do Ceará,Head of Analytics,05 Jan 2021,Tammy Miller,-3.720732099999999,-38.5175326
36,CEEE,Funcionário público,04 Jan 2021,Morgan Morris,42.5092937,-92.4559719
37,Laticínios Tirol,Especialista de Logística,02 Jan 2021,Brian Moore,-26.9952007,-51.4135064
38,Teachinguide.com,Founder,02 Jan 2021,Mr. Victor Simmons MD,34.0352478,-84.08827819999999
39,Grupo Casa Magalhães,Desenvolvedor de Software,01 Jan 2021,Jonathan Ortiz,-3.7748884,-38.4891612
40,Aeris Energy,Engineering Processist,01 Jan 2021,Amanda Lee,44.3106241,-69.7794897
41,Stefanini,Líder de Processos,01 Jan 2021,Joshua Juarez,42.48633,-83.311877
42,Eldorado Brasil Celulose S/A,System Analyst,31 Dec 2020,Norma Carter,-20.8875251,-51.3593298
43,Inteligencia de Negocios,Gerente de serviços e Pré-Venda,31 Dec 2020,Kimberly Herman,44.8304543,-93.50427400000001
44,Radix Engenharia e Software,Global Head of Data Science & AI,31 Dec 2020,Teresa Wagner,29.7776993,-95.5437223
45,International Institute of Physics - UFRN,Systems Development Analyst,31 Dec 2020,Christopher Spencer,-5.8404675,-35.1955351
46,Beegol,Data Scientist,31 Dec 2020,Peggy Price,-23.5941778,-46.68567480000001
47,Sociedade Porvir Cientifico - Rede La Salle e Ensino,Data Scientist | Controladoria,31 Dec 2020,Maria Johnson,-30.008194,-51.1859489
48,Ecori Energia Solar,Desenvolvimento comercial,31 Dec 2020,Sarah Peterson,-20.8328609,-49.40515509999999
49,Decode,Data Science Manager,31 Dec 2020,Zachary Allen,29.7381015,-95.3908154
50,FDC TECNOLOGIA,Information Technology Analyst,30 Dec 2020,Mrs. Rachel Gaines,-12.9699005,-38.4224185
51,Nenhuma,Estudante de Graduação,30 Dec 2020,Michael Ball,28.4525504,-81.4378886
52,Corptocorp Org,Technical Recruiter,29 Dec 2020,Richard Delacruz,40.7046172,-74.01123249999999
53,TOTVS,Técnico de Qualidade,28 Dec 2020,Taylor Lewis,37.4043887,-122.0770556
54,Hotmart,Analista de estratégia do negócio,28 Dec 2020,Justin Barnett,25.4967024,-103.4035908
55,Betha Sistemas,Analista de Suporte e Implantação I,26 Dec 2020,Jennifer Singh,19.4252615,-99.1530313
56,Sisaut Tecnologia,Desenvolvedor da web,26 Dec 2020,Lindsay Reeves,-20.7261438,-46.6116254
57,Eleva Educação,Analista de software,26 Dec 2020,Elizabeth Anderson,-22.9556128,-43.18263959999999
58,Petrobras,Inspeção,24 Dec 2020,Shannon Robinson,29.7279912,-95.5555577
59,Vero Internet,Analista de monitoramento (NOC),23 Dec 2020,Ashley Harrison,27.6406698,-80.44861379999999
60,Deal,Analista de dados,23 Dec 2020,Cathy Stewart,40.243168,-74.0006927
61,Paraná Banco S/A,Cientista de dados,23 Dec 2020,Christina Gonzalez,-23.1820126,-50.6488965
62,Brave.ag,Business Manager,23 Dec 2020,Melissa Harrell,39.1039924,-84.510032
63,Prefeitura Municipal de Caraguatatuba ,Estagiário,23 Dec 2020,Christian Friedman,-23.619337,-45.409855
64,CCR Metrô Bahia,Operador de Sistemas de Tração,22 Dec 2020,John Mills,-12.9265924,-38.4649875
65,Home Office,Estudante em tempo integral,21 Dec 2020,David King,36.3648645,-94.2176775
66,Delaxy Marketplace,Analista de Marketing Digital,19 Dec 2020,Lisa Bass,26.4561034,-80.1891201
67,Centro Universitário São Lucas,Professor Universitário,17 Dec 2020,Samuel Lopez,-8.7719247,-63.89558299999999
68,Autônomo,Autônomo,17 Dec 2020,Tammy Brown,41.975919,-87.712086
69,Centro Universitário de União da Vitória UNIUV,Professor,16 Dec 2020,Jon Duke,-26.2425444,-51.0917486
70,ByteCom Sistemas e Serviços Ltda,Analista Programador,16 Dec 2020,Julie Wagner,-26.4951125,-49.0897882
71,WF Estruturas e Sistemas,Agente de melhoria contínua,16 Dec 2020,Kenneth Riley,-22.8538988,-48.4916968
72,MachLab,Co-fundador | Engenheiro de dados,16 Dec 2020,Jonathan Roy,41.6594594,-91.5479919
73,Armazém de Documentos,CEO em Armazém de Documentos,16 Dec 2020,Mallory Watson,-26.3042458,-48.8794853
74,Senac Santa Catarina,Professor de graduação e pós graduação ,16 Dec 2020,Elizabeth Maldonado,-27.5937832,-48.5570337
75,Hub Fintech ,Software Engineer,16 Dec 2020,Brittany Miller,-23.500966,-46.8261359
76,Mixtel Atacado,Gerente de Projetos,15 Dec 2020,Mark Livingston,-25.4831783,-49.2984804
77,Tribunal de Justiça Militar de São Paulo,Systems Specialist,15 Dec 2020,Erin Haas,-23.5463293,-46.6502105
78,Deloitte Brasil,Analista de Sistemas JR,15 Dec 2020,James Chen,-23.6249859,-46.7015877
79,Creditas,Data Scientist Trainee,15 Dec 2020,Brittany Garcia,50.2303003,12.868645
80,UPFLUX Advanced Analytics,Researcher in Computer Science and Artificial Intelligence,15 Dec 2020,Elizabeth Logan,,
81,iTER Software de Rastreamento e Telemetria,Frontend Developer,15 Dec 2020,Kristie Rogers,-27.599322,-48.605751
82,MC1 - Win The Market,Analista Programador Pleno,15 Dec 2020,Cynthia Nelson DDS,-23.5679067,-46.6512623
83,Bravo - Serviços Logísticos,Assistentente de sistemas,15 Dec 2020,Christine Fernandez,-15.6745256,-55.948639
84,EBSERH,Desenvolvedor Java,15 Dec 2020,Lisa Oneal,-7.1353749,-34.8405534
85,Estamos aqui para cuidar de você,Somos uma empresa Offshore e Onshore,15 Dec 2020,Vicki Rush,-23.5599715,-46.6514124
86,Universidade Federal do Rio de Janeiro,Pesquisadora de Doutorado,11 Dec 2020,Michael Fuller,-22.8625345,-43.2234737
87,"AC Tecnologia - Áudio/Vídeo, Automação Corporativa, Residencial, e Gov.",Territory Account Manager,11 Dec 2020,Mr. Glen Mueller,-15.8018206,-47.9261512
88,ARISB-MG,Analista de Fiscalização e Regulação,11 Dec 2020,Alisha Moore,-19.9197058,-43.93889670000001
89,Dasa,Data Scientist,10 Dec 2020,Natalie Rocha,34.0057434,-117.4869984
90,Confidential,Machine Learning Developer - Jr.,08 Dec 2020,Daniel Perez,29.9669841,-95.5756531
91,Cervejaria Ambev,Supervisor Senior de Logística,08 Dec 2020,Chase Ruiz,-1.3747977,-48.3500793
92,Centro de Inovação EDGE,Desenvolvedor Júnior,08 Dec 2020,Timothy Johnson,-9.5545464,-35.7749275
93,Bradesco,Data Engineer,08 Dec 2020,Jeffrey Diaz,40.7614676,-73.9712067
94,Rede,Técnico,08 Dec 2020,Brett Hurley,45.5347379,-122.6682097
95,"Secretaria Municipal de Meio Ambiente, Saneamento e Recursos Hídricos de Cristalina Goiás ",Supervisor de Meio Ambiente,08 Dec 2020,Charlotte Hurst,-16.7711668,-47.61283599999999
96,Conselho Baiano de Turismo,Vice-presidente,07 Dec 2020,Casey Curry,-12.9195014,-38.355622
97,Veterinário,Veterinário,07 Dec 2020,Deanna Harris,37.1556278,-95.5947005
98,Grupo SEPAC,Desenvolvedor de Sistemas,07 Dec 2020,Todd Mendoza,27.4843337,-109.9567663
99,Unimed Federação Rio,Gerente Administrativo - Gestão de Pessoas,04 Dec 2020,Joshua Moses,-22.9015875,-43.1786872
100,Grupo GFT,Engenheiro de dados,03 Dec 2020,Randy Perez,46.7654647,-71.3121184
101,Unimed Nordeste Paulista - Federacao Intrafederativa Das Cooperativas Medicas,Analista de Negócios ,03 Dec 2020,Craig Donaldson,-21.1939278,-47.7590642
102,CreativeCode,Full Stack Developer,03 Dec 2020,Diana Torres,40.4380558,-80.0036638
103,Mater Misericordiae University Hospital,Data Analyst,03 Dec 2020,Alexander Randall,53.3598586,-6.2656689
104,Caixa Econômica Federal,Funcionário,03 Dec 2020,Tracey Simmons,2.8183369,-60.7157975
105,University of Aberdeen,Honorary chair in Computing Science,02 Dec 2020,Holly Shaw,57.16475999999999,-2.1015257
106,BEHIVE TECNOLOGIA,TX NETWORK ANALYST,02 Dec 2020,Jessica Gibbs,-22.2558424,-45.6953922
107,Embarcados,Writer,01 Dec 2020,Jon Wallace,-32.9605374,-60.6204669
108,Centro de Excelência em Inteligência Artificial (CExIA) & Deep Learning Brasil,Researcher,01 Dec 2020,Wayne Mcbride,,
109,dti digital,Machine Learning Engineer,01 Dec 2020,Tina Lucas,39.8976402,-86.0490951
110,Prefeitura Municipal de Tijucas - SC,Analista de TI,01 Dec 2020,Kimberly Graham,-27.2463172,-48.6401615
111,Skillarena,Business Growth Executive,01 Dec 2020,Mike Romero,33.9582109,-118.3419015
112,SkillArena,Co-Founder,01 Dec 2020,Richard Holland,33.9582109,-118.3419015
113,NVIDIA,Sales Development Specialist- LATAM/Canada,01 Dec 2020,Lucas Bullock,45.5345522,-122.8865277
114,MobFirst,Comercial,30 Nov 2020,Charles Davis,-25.4745225,-49.2952601
115,Autônomo,Desenvolvedor de aplicativos (Python / Django),30 Nov 2020,Alejandro Green,41.975919,-87.712086
116,Universidade Estadual do Norte do Paraná - UENP,Professor adjunto,30 Nov 2020,Jennifer Avery,-23.1604204,-49.9741699
117,Whirlpool Corporation,Analista de Projetos e Automação,28 Nov 2020,Mitchell Brown,36.2623608,-95.91796339999999
118,Ipiranga,Cientista de Dados,27 Nov 2020,Samuel Smith,43.2388375,-1.9925147
119,Unipar - Universidade Paranaense,Estagiário,27 Nov 2020,Mark Juarez,-23.7565389,-53.3013639
120,SLT Labs,Fundador,27 Nov 2020,William King,38.9142787,-119.9983962
121,KPMG,Risk Advisory Solutions (RAS) Manager ,27 Nov 2020,Diane Dixon,39.1021549,-94.5820901
122,Office Inn,Coordenador administrativo,26 Nov 2020,Richard Price,35.9293326,-94.9533508
123,Alual Festas,Analista de ecommerce,25 Nov 2020,Jason Bruce,-22.2181386,-49.9511009
124,Safra,Digital Manager,25 Nov 2020,Jason Perkins,40.776851,-73.957943
125,APUS Digital,Engenheiro de IA,25 Nov 2020,Michael Cisneros,39.2877823,-77.8600819
126,ICT Lab (Information and Communications Technologies Laboratory),Research Intern,25 Nov 2020,Donald Wong,9.5313474,6.4515764
127,Universidade Federal de Pernambuco,Estudante de Graduação,25 Nov 2020,Connie Adams,-8.0517328,-34.9507155
128,Altran,Head of Analytics & A.I Expertise Centre,25 Nov 2020,Danielle Payne,33.975342,-84.21503299999999
129,Braindness,Estrategista de comunicação,25 Nov 2020,Robert Kline PhD,,
130,Marlo,Analista e Desenvolvedor de Sistemas ,25 Nov 2020,Robert Miller,43.1918413,-89.457111
131,Global Park (Grupo Patropi),ANALISTA ADMINISTRATIVO,25 Nov 2020,Kelsey Richards,36.1104125,-115.2067011
132,Ambev Tech,Analista desenvolvedor júnior,25 Nov 2020,Leah Evans,38.2364269,-122.0937401
133,MWV Rigesa,Analista de Microinformática Jr,25 Nov 2020,Ronald Wilson,-26.1212959,-50.31732479999999
134,Itaú Unibanco,Estágio em Desenvolvimento de Software,25 Nov 2020,Jason Terry,25.7723394,-80.1877414
135,Neotriad S/A,Desenvolvedor,23 Nov 2020,Ernest Glenn,-23.9458654,-46.3297889
136,Sodexo Benefícios e Incentivos,Analista de Testes de Software,23 Nov 2020,Christopher Lawson,-23.4996065,-46.8509092
137,Red Hat,Cloud Consultant,23 Nov 2020,Elizabeth Mitchell,35.7752736,-78.63794779999999
138,BTG Pactual,HR Analytics & Efficiency,23 Nov 2020,Jason Smith,40.7584385,-73.9702732
139,ECT - Empresa De Correios e Telégrafos,Agente de Correios - Suporte,23 Nov 2020,Sarah Gray,-3.7043784,-38.4738108
140,robertinhogaspar702@gmail.com,Atendimento ao cliente,21 Nov 2020,Evelyn Parker,,
141,Ecotrace Solutions,IT Project Manager,20 Nov 2020,Jennifer Frazier,-23.0368416,-46.98674159999999
142,Albieri e Associados Tax & Finance,Senior Sales Marketing,20 Nov 2020,Mariah Abbott,-23.6914873,-46.549254
143,Sensorweb,P&D,20 Nov 2020,Andrew Ingram,33.7550439,-84.3896288
144,Santander Brasil,Analista de Metodologia I,20 Nov 2020,Matthew Manning,32.5082597,-116.9916133
145,Grão Inteligência,Cientista de dados,20 Nov 2020,John Tucker,-23.0027005,-43.32177
146,Printi,Coordenador de Business Intelligence,19 Nov 2020,Daniel Harris,47.00904800000001,15.3997009
147,SetraBH - Sindicato das Empresas de Transporte de Passageiros de Belo Horizonte,Coordenador,18 Nov 2020,Shannon Smith,-19.9286332,-43.9552688
148,Grupo T2,Gerente financeiro,18 Nov 2020,Joshua Garrett,,
149,Youbot Inteligência Artificial,CEO,17 Nov 2020,Joseph Lewis,37.7953898,-122.3961067
150,Consisa Sistemas,Analista de Testes,17 Nov 2020,Crystal Moore,-26.078349,-53.047916
151,Assessoria Empresarial Guandalini,Proprietário,17 Nov 2020,Mrs. Melinda Gonzalez,,
152,Kodo Interactive ,Administrative Lead,16 Nov 2020,Michael Blair,39.9195376,-105.0962295
153,"CONFIO CONSORCIOS = REPRESENTANTE AUTORIZADO BR CONSORCIOS, CAIXA CONSÓRCIOS E ANCORA CONSORCIOS.",REPRESENTANTE COMERCIAL,16 Nov 2020,Jacob Hill,-20.5420085,-47.4078764
154,Appen,Data Scientist,16 Nov 2020,Christina King,47.7097889,-122.1909885
155,Soul Code Jr,Cientista de dados,16 Nov 2020,Robert Morgan,34.0106266,-118.3018388
156,HAB Int Business Institute,Founder - CEO at HAB Int Business Institute,16 Nov 2020,Stephanie Brooks,38.7101379,-90.31110749999999
157,BI Solutions,Analista de BI,16 Nov 2020,Carla Reyes,33.0543119,-96.8266644
158,SUEZ - Water Technologies & Solutions,Data Analyst Intern,16 Nov 2020,Matthew Gonzalez,30.0645303,-94.2207713
159,Coopersystem,Data Scientist,14 Nov 2020,Shawn Mahoney,-15.7967262,-47.9615558
160,Unimed de Araraquara,Coordenador de Logística e Suprimentos,14 Nov 2020,Robert Rubio,-21.7905543,-48.1802729
161,Udemy,Instructor Partnerships Manager ,14 Nov 2020,Jennifer Yates,37.7842574,-122.3959203
162,Five Tech Solutions,Desenvolvedor de produtos,14 Nov 2020,Stephanie Sanchez,40.5897919,-74.2801484
163,DataForest,Analista de BI,13 Nov 2020,Justin Peters,38.9050769,-77.0438839
164,cDataLab,Consultant,13 Nov 2020,Andrew Martinez,,
165,MField,Estagiário em Análise de Dados,13 Nov 2020,Christie Mosley,19.6184811,-155.9490625
166,FRUM TECNOLOGIA EM FREIOS,Supervisor Manutenção Elétrica,13 Nov 2020,Sarah Wagner,-22.8260713,-46.3117879
167,Sensorweb,Analista de Suporte Computacional - P&D,13 Nov 2020,Meredith Cooley,33.7550439,-84.3896288
168,MUTANT BR,Business Intelligence Analyst,12 Nov 2020,Yesenia Duffy,-23.5820301,-46.6920314
169,Freelance,Judicial Expertise Assistant,12 Nov 2020,Kenneth Brown,38.1422606,-94.8137407
170,GAIPS Lab,Student Researcher,11 Nov 2020,Jack Wright,42.3398067,-71.0891717
171,Governo do Estado de São Paulo,Supervisor,11 Nov 2020,Stacy Holland,-23.6011523,-46.71192629999999
172,Sicredi,Especialista de concessão de crédito,11 Nov 2020,Brandon Beck,-2.4254165,-54.7276507
173,Universidade Estadual de Campinas,Professor Associado,08 Nov 2020,Meghan Smith,-22.8184393,-47.0647206
174,CCR S.A.,Analista de Sustentabilidade ,08 Nov 2020,Latasha Elliott,-12.0990534,-76.9701134
175,Stone,Data Analyst,07 Nov 2020,Gina Morgan DVM,37.06250000000001,-95.677068
176,Universidade de São Paulo,Undergraduate Research Fellow,07 Nov 2020,Jamie Miller,-23.5613991,-46.7307891
177,BRF S.A.,Analista administrativo Pleno - CSC,07 Nov 2020,Kristie Parrish,32.4806585,-93.77184109999999
178,"Inmetro - Instituto Nacional de Metrologia, Qualidade e Tecnologia",Aluno de pós-graduação,07 Nov 2020,Valerie Santiago,-22.5890507,-43.2821524
179,Localiza,Cientista de dados,07 Nov 2020,Kevin Munoz,2.8270579,-60.6976753
180,Cummins Inc.,Data Science Intern,07 Nov 2020,Theresa Nguyen,35.95492,-86.82801959999999
181,Datarisk,Cientista de dados,07 Nov 2020,Albert Lewis,43.0755504,-70.783654
182,freelance,Freelancer,07 Nov 2020,Brendan Thomas,38.1422606,-94.8137407
183,Hotmart,Data Science Manager,07 Nov 2020,Tracey Travis MD,25.4967024,-103.4035908
184,Embraer - Empresa Brasileira de Aeronáutica S.A.,IT System Analyst,07 Nov 2020,Alyssa Cox,33.3141829,-111.6758101
185,Mindsight,Data Science Intern,07 Nov 2020,Lindsey Robinson,41.829685,-88.03268299999999
186,Neuron - Data Science and Artificial Intelligence,Membro de Projetos,07 Nov 2020,Mary Duke,40.7982133,-77.8599084
187,Zenvia Mobile,Data Engineer,07 Nov 2020,Gregory Lewis,-23.556868,-46.661113
188,Systax,Senior Account Executive,05 Nov 2020,Ricardo Peters,-23.559972,-46.651412
189,Núcleo de Gerenciamento Pará Rural,Information Technology Intern,05 Nov 2020,Joshua Reed,-1.4621937,-48.4910635
190,Ourofino Saúde Animal,Senior Supply Chain Analyst,05 Nov 2020,Luke Morris,-21.2867927,-47.7482074
191,Hotmart,Data Scientist,05 Nov 2020,Beverly Sims,25.4967024,-103.4035908
192,Megawork Consultoria,Power BI Consultant,05 Nov 2020,Eric Harrington,-23.6072106,-46.6614213
193,Nacional Gás Butano Distribuidora Ltda,Supervisor de Operações (Logística),05 Nov 2020,Susan Patel,-5.1340183,-36.3889711
194,Sal Express Soluções Logísticas,Data Processing Assistant,05 Nov 2020,Melissa Galvan,-21.5823148,-45.4396917
195,Alex Rodrigues Alves - Advogado e Consultor Jurídico,Advogado,05 Nov 2020,Amber Rogers,-15.8193062,-48.1037691
196,Autônomo,Desenvolvedor Web,03 Nov 2020,Linda Howell,41.975919,-87.712086
197,BRIDGE - Rede de Excelência em Ciência e Tecnologia do Estado de Sergipe,Founder e Cientista Chefe,03 Nov 2020,Christopher Ray,-10.5740934,-37.3856581
198,Universidade Federal do Rio Grande do Norte,Bolsista,03 Nov 2020,Timothy Bailey,-5.8397871,-35.2017448
199,BBChain,CEO,03 Nov 2020,Brian Myers,42.8132963,-71.646512
200,Solda Fria Produções,CEO - Motion Designer,03 Nov 2020,Bryan Lane,-23.4529071,-46.5970376
201,A GERADORA,Business Intelligence Analyst,03 Nov 2020,Megan Reese,-10.9002671,-37.1409367
202,Leega,Governança de Dados & LGPD,02 Nov 2020,Deanna Colon,45.3259593,-75.8218133
203,içougue®,Founder & CEO,02 Nov 2020,Jade Hernandez,-23.5667005,-46.6509627
204,FUNPAR - Fundação da Universidade Federal do Paraná,"Consultor na área de computação, infraestrutura, desenvolvimento e gestão de TI",02 Nov 2020,Micheal Chavez,-25.431822,-49.26602200000001
205,Saint-Gobain,Data Analyst ,30 Oct 2020,Sandy Noble,39.1381391,-94.61354000000001
206,"GREMI - Grupo de Pesquisa em Economia, Meio Ambiente e Inovação",Aluno Pesquisador,30 Oct 2020,Ronald Mckay,-22.8625345,-43.2234737
207,Tecno System EJ,Project Director,29 Oct 2020,James Brown,44.6594478,11.7779725
208,Valour Informática,Consultor,29 Oct 2020,Elizabeth Porter,32.9374727,-96.7502392
209,Capgemini,Analista de business intelligence,28 Oct 2020,Nicole Sanford,29.7393613,-95.4632742
210,Universidade Federal do Paraná,Mestranda em Engenharia Ambiental,28 Oct 2020,Derek Joyce,-25.4269081,-49.2617658
211,PUC-SP,Professor,27 Oct 2020,Michelle Kaufman,-23.5379201,-46.671058
212,Anamar Comércio e Transportes Ltda,Analista de logística de transporte,27 Oct 2020,Joshua Wright,-23.7542438,-46.4028854
213,Expert System ,Consultor de Power BI,27 Oct 2020,Darrell Rodriguez,39.047621,-77.124978
214,IBOPE DTM Marketing de Relacionamento,Data Analyst DBM,27 Oct 2020,Tabitha Padilla,-23.5258235,-46.6738772
215,Multiplan Empreendimentos S.A.,Supervisor de Projetos - BI,27 Oct 2020,Laura Pope,40.7385177,-73.9905929
216,Smarppy Consultoria e Desenvolvimento de Software,Desenvolvedor de aplicativos móveis,26 Oct 2020,Kelly Hardy,-24.0392604,-52.3720249
217,Urbe Mobile,Software Developer and Team Leader,26 Oct 2020,Ashley Newman,-23.1566899,-45.7906975
218,ADRITEC SUPORT MANUTENÇÃO,Proprietário,26 Oct 2020,Daniel Johnson,-23.1713839,-45.8208756
219,Braspag,Analista de Desenvolvimento TI,26 Oct 2020,Brian Nunez,-23.5045617,-46.8512235
220,DASEL CORRETORA,Executivo de vendas,26 Oct 2020,Marissa Gordon,-8.0653318,-34.8947924
221,Geophysique,Sr. Geophysicist,26 Oct 2020,Destiny Krueger,48.10960799999999,-77.814624
222,Compasso,Back End Developer,24 Oct 2020,Debra Martin,28.6372946,-106.0974583
223,Synvia, Analista de Data Science,23 Oct 2020,Harold Edwards,-22.7838506,-47.1515602
224,CotaBest,Cientista de dados,23 Oct 2020,Kayla Perkins,-23.5990508,-46.6896139
225,FCA Fiat Chrysler Automobiles,Internship,23 Oct 2020,Cody Conway,42.65513869999999,-83.2305966
226,Prefeitura Municipal de Pomerode,Professor,22 Oct 2020,Bradley Moore,-26.7415522,-49.1750923
227,Saint-Gobain,South America Senior Data Science Manager,21 Oct 2020,Michael Flores,39.1381391,-94.61354000000001
228,IBM Brasil,Administrador de sistemas Linux Unix,20 Oct 2020,Marc Mcclure,-23.5799222,-46.649075
229,Via Varejo SA,Data Scientist,20 Oct 2020,Aaron York,40.8947334,-73.9425538
230,"GoGlobalTips, LookDigital, Glasses4.0, Tsuha Sushi Wine, Hotel Boutique Bela Vista",Executive Director,20 Oct 2020,Mrs. Brandi Peterson,,
231,MINDS - Machine Intelligence and Data Science Laboratory,Pesquisador,20 Oct 2020,Charles Tucker,42.36194070000001,-71.0904378
232,Indra,Engenheiro de Dados,19 Oct 2020,Allison Jensen,40.0362122,-105.2277543
233,Farmácias Pague Menos,Business Intelligence | Big Data Tech Lead,19 Oct 2020,Jamie Guerrero,0.078029,-51.061164
234,AI Inclusive,Marketing and Partnerships Manager,19 Oct 2020,Andrea Cooper,33.7401008,-78.8189316
235,Zoox Smart Data,Analista de dados,19 Oct 2020,Matthew Simmons,34.0530311,-84.2726268
236,Dankia Automação Hospitalar,Owner,19 Oct 2020,Rachel Bowman,-23.6302008,-46.7047514
237,Yoga Alliance,Professora de Yoga,19 Oct 2020,James Morris,38.89340019999999,-77.0777816
238,Proxxi Technology an IBM Company,Tecnico de Manutenção de Sistemas e Instrumentos,17 Oct 2020,Joanna Bean,49.28120910000001,-123.1148296
239,Supermercados Guanabara,Preparador de Dados,17 Oct 2020,Tammy Garcia,-22.8811624,-43.3397789
240,Ms Soluções Médicas,Proprietário,16 Oct 2020,Christina Adams,-23.4963969,-46.852062
241,Alelo Brasil,Data Science Senior,16 Oct 2020,Abigail Watson,-23.5046677,-46.8510711
242,Ticket,Analista de Business Intelligence,16 Oct 2020,Joseph Parker,38.9858865,-94.6085224
243,Nubank,Software Engineer,16 Oct 2020,Pedro Stevenson,40.7078306,-74.0088936
244,Centro Universitário Adventista de São Paulo,Assistente Administrativo,16 Oct 2020,Valerie Johnson,-22.5034917,-47.1632896
245,B3,Trader Autônomo,16 Oct 2020,Miguel Robinson,32.9991778,-96.90919939999999
246,Institute for Applied Economic Research (Ipea),IT Consultant,16 Oct 2020,Sandra Peters,-15.798564,-47.880734
247,IPEMIG,Analista de Dados,16 Oct 2020,Michele Smith,-19.9197229,-43.9393338
248,Incognia,Senior Data Scientist,15 Oct 2020,Julian Walker,,
249,Funcional Health Tech,Analista de processos e qualidade,14 Oct 2020,Stephanie Smith,-23.5643058,-46.66426
250,CGA Compañía General Automotriz de Colombia S.A.S.,Director Negocios Especiales ,13 Oct 2020,Jason Miller,4.600188,-74.13529199999999
251,Agrosepac,Mobile Developer,13 Oct 2020,Desiree Fleming,-25.8697414,-50.8145851
252,Student/Self-Employed (Full Time Data Science Student),Data Scientist,13 Oct 2020,Dr. Kimberly Williams,,
